3000
EL_1| 12 74.8
EL_590| 6 62.9
EL_591| 27 34.3
EL_592| 100 5.5
EL_593| 92 61.2
EL_594| 64 81.4
EL_595| 3 94.4
EL_596| 24 12.9
EL_597| 3 18.2
EL_598| 82 19
EL_599| 4 26.7
EL_600| 90 53
EL_601| 15 58.4
EL_602| 34 89.9
EL_603| 20 79.4
EL_604| 84 56.4
EL_605| 34 8.2
EL_606| 37 33.1
EL_607| 14 40.1
EL_608| 1 92
EL_609| 61 31.7
EL_610| 67 7.2
EL_611| 18 86.1
EL_612| 92 7.2
EL_613| 64 44.7
EL_614| 98 4.9
EL_615| 70 69.2
EL_616| 96 64.5
EL_617| 34 44.8
EL_618| 98 87.7
EL_619| 19 14.5
EL_620| 2 78.4
EL_621| 34 31.9
EL_622| 25 70.6
EL_623| 91 8.1
EL_624| 92 5.6
EL_625| 29 95
EL_626| 37 11.8
EL_627| 94 99.8
EL_628| 79 4.8
EL_629| 84 37.1
EL_630| 31 57.9
EL_631| 9 85.4
EL_632| 92 99.3
EL_633| 87 33.9
EL_634| 67 46.1
EL_635| 91 17.1
EL_636| 13 81.7
EL_637| 72 68.7
EL_638| 35 88.4
EL_639| 63 39.3
EL_640| 99 32.2
EL_641| 1 77
EL_642| 36 2.5
EL_643| 92 90.1
EL_644| 97 39.9
EL_645| 83 68.2
EL_646| 81 93.5
EL_647| 14 55.9
EL_648| 87 62.7
EL_649| 89 21.2
EL_650| 17 14.2
EL_651| 79 49.2
EL_652| 80 50.4
EL_653| 81 23.2
EL_654| 87 4.9
EL_655| 88 51.5
EL_656| 68 63.1
EL_657| 24 17.4
EL_658| 77 2.9
EL_659| 3 4.4
EL_660| 8 42.7
EL_661| 98 67.8
EL_662| 96 51.6
EL_663| 94 55.6
EL_664| 36 6.8
EL_665| 3 11.4
EL_666| 76 79.9
EL_667| 86 72.1
EL_668| 4 66.9
EL_669| 85 19.1
EL_670| 72 37.5
EL_671| 12 39.8
EL_672| 90 82.7
EL_673| 74 21.5
EL_674| 72 40.9
EL_675| 10 53.2
EL_676| 10 57.1
EL_677| 32 8.5
EL_678| 12 10.8
EL_679| 25 22.4
EL_680| 69 73.2
EL_681| 67 80.2
EL_682| 61 36.2
EL_683| 78 92.8
EL_684| 84 48.6
EL_685| 36 58
EL_686| 66 17
EL_687| 95 52.6
EL_688| 73 27.6
EL_689| 69 33.7
EL_690| 68 75.6
EL_691| 66 33
EL_692| 73 86.4
EL_693| 68 85.3
EL_694| 4 85
EL_695| 13 40.8
EL_696| 23 31.3
EL_697| 27 39.1
EL_698| 86 69.1
EL_699| 20 64.4
EL_700| 5 31.9
EL_701| 73 63.8
EL_702| 3 64.4
EL_703| 88 51.4
EL_704| 26 8.4
EL_705| 26 58.9
EL_706| 13 63.3
EL_707| 70 56.8
EL_708| 92 91.8
EL_709| 91 42.3
EL_710| 81 2.2
EL_711| 39 12.8
EL_712| 28 44.5
EL_713| 4 66.8
EL_714| 37 51.9
EL_715| 83 98.6
EL_716| 38 70.6
EL_717| 83 74.7
EL_718| 76 91
EL_719| 84 97.9
EL_720| 14 11.9
EL_721| 7 73.3
EL_722| 83 89.5
EL_723| 77 32.4
EL_724| 75 76.9
EL_725| 4 50.8
EL_726| 2 29.5
EL_727| 64 66.1
EL_728| 20 67.9
EL_729| 82 50.9
EL_730| 100 70.4
EL_731| 82 81.1
EL_732| 2 39.6
EL_733| 0 3.9
EL_734| 3 42.5
EL_735| 82 98.6
EL_736| 60 39.5
EL_737| 95 81
EL_738| 38 35.1
EL_739| 70 37.8
EL_740| 3 9
EL_741| 100 34.5
EL_742| 25 57.4
EL_743| 3 11.8
EL_744| 18 59.8
EL_745| 92 10.5
EL_746| 23 91.2
EL_747| 61 70
EL_748| 4 38.8
EL_749| 82 56.5
EL_750| 97 18.5
EL_751| 38 38.9
EL_752| 0 2
EL_753| 26 28
EL_754| 33 69.9
EL_755| 98 75
EL_756| 33 6.2
EL_757| 61 42.4
EL_758| 77 29.3
EL_759| 69 74.4
EL_760| 14 30.1
EL_761| 95 78.3
EL_762| 80 83.9
EL_763| 80 48.3
EL_764| 29 92.2
EL_765| 91 30.4
EL_766| 15 42.5
EL_767| 91 15.2
EL_768| 33 2.7
EL_769| 72 29.8
EL_770| 33 63.8
EL_771| 93 52.9
EL_772| 92 94.7
EL_773| 79 94.1
EL_774| 4 8.5
EL_775| 85 97.1
EL_776| 4 68.7
EL_777| 37 81.3
EL_778| 88 9.2
EL_779| 36 27.6
EL_780| 73 45.8
EL_781| 18 50.8
EL_782| 71 70.2
EL_783| 71 49.6
EL_784| 91 67.2
EL_785| 79 80.7
EL_786| 33 53.3
EL_787| 2 10.8
EL_788| 65 57.4
EL_789| 23 98.9
EL_790| 94 32.1
EL_791| 23 49.8
EL_792| 16 25.5
EL_793| 93 12.7
EL_794| 77 15.3
EL_795| 79 42.1
EL_796| 63 6.4
EL_797| 66 69
EL_798| 10 82.4
EL_799| 61 75.1
EL_800| 2 86.4
EL_801| 4 29
EL_802| 64 95.7
EL_803| 13 55.7
EL_804| 30 60.1
EL_805| 82 82.9
EL_806| 11 58.8
EL_807| 90 39.2
EL_808| 63 45.1
EL_809| 71 90.5
EL_810| 38 36.1
EL_811| 6 55.7
EL_812| 38 98
EL_813| 80 67.7
EL_814| 77 49.5
EL_815| 23 99.4
EL_816| 36 79.6
EL_817| 29 38.3
EL_818| 83 56.8
EL_819| 61 30.3
EL_820| 13 19.2
EL_821| 16 13.6
EL_822| 72 24.9
EL_823| 16 95.2
EL_824| 33 60.1
EL_825| 15 16.6
EL_826| 1 62.8
EL_827| 7 75.9
EL_828| 13 89.8
EL_829| 2 13.5
EL_830| 86 77.4
EL_831| 3 42.6
EL_832| 87 25.1
EL_833| 5 59.7
EL_834| 17 15.4
EL_835| 81 67.7
EL_836| 25 4.5
EL_837| 26 11.5
EL_838| 79 8.2
EL_839| 0 16.5
EL_840| 40 54.3
EL_841| 65 50.7
EL_842| 5 46.7
EL_843| 6 67.3
EL_844| 13 90.8
EL_845| 6 84.2
EL_846| 73 24.2
EL_847| 6 97.6
EL_848| 93 13.3
EL_849| 96 1.2
EL_850| 37 23.2
EL_851| 3 73
EL_852| 87 51.4
EL_853| 30 44.6
EL_854| 34 37.8
EL_855| 34 54.5
EL_856| 64 25.3
EL_857| 73 68.4
EL_858| 71 15.3
EL_859| 19 27.7
EL_860| 72 40.3
EL_861| 23 10.2
EL_862| 90 71.5
EL_863| 70 41.4
EL_864| 79 7.3
EL_865| 93 88.3
EL_866| 25 55.4
EL_867| 69 98.1
EL_868| 63 67.9
EL_869| 16 85.8
EL_870| 93 71.5
EL_871| 98 80.6
EL_872| 88 97.1
EL_873| 79 8
EL_874| 75 65.8
EL_875| 79 51.3
EL_876| 88 4.1
EL_877| 70 15.2
EL_878| 64 66.8
EL_879| 39 4.8
EL_880| 4 94.4
EL_881| 76 46
EL_882| 69 88.2
EL_883| 29 90.9
EL_884| 75 72.4
EL_885| 98 74.3
EL_886| 13 52.5
EL_887| 27 99.2
EL_888| 39 28.4
EL_889| 85 99.6
EL_890| 64 29.2
EL_891| 4 48.2
EL_892| 38 39.4
EL_893| 8 64
EL_894| 61 66
EL_895| 69 99.7
EL_896| 93 79.6
EL_897| 66 84.3
EL_898| 33 56.1
EL_899| 80 94.7
EL_900| 82 42.1
EL_901| 97 96.7
EL_902| 33 37.2
EL_903| 37 53.9
EL_904| 5 6.5
EL_905| 32 8
EL_906| 10 20.6
EL_907| 8 85.4
EL_908| 69 52.3
EL_909| 20 56.3
EL_910| 18 48.3
EL_911| 23 41.4
EL_912| 78 13.4
EL_913| 94 38.6
EL_914| 97 75.6
EL_915| 25 61.1
EL_916| 95 74.5
EL_917| 85 44.3
EL_918| 32 46.1
EL_919| 90 22.3
EL_920| 26 1.3
EL_921| 62 30.9
EL_922| 86 25.7
EL_923| 34 79.5
EL_924| 74 51.8
EL_925| 98 59.5
EL_926| 14 28.1
EL_927| 14 18.3
EL_928| 40 57.9
EL_929| 25 70.1
EL_930| 19 30.4
EL_931| 36 20
EL_932| 79 97.7
EL_933| 84 31.8
EL_934| 83 7.7
EL_935| 81 49.1
EL_936| 98 72.7
EL_937| 68 3.1
EL_938| 31 30.2
EL_939| 30 87.1
EL_940| 3 57
EL_941| 90 72.7
EL_942| 0 7
EL_943| 94 42.2
EL_944| 1 41.3
EL_945| 82 33.2
EL_946| 22 23.5
EL_947| 33 20.7
EL_948| 71 63
EL_949| 91 11.2
EL_950| 20 55.6
EL_951| 80 1
EL_952| 35 46.2
EL_953| 74 62.2
EL_954| 6 11
EL_955| 81 80.5
EL_956| 6 95.8
EL_957| 0 3.6
EL_958| 26 54.1
EL_959| 74 89.1
EL_960| 13 9.2
EL_961| 96 98.2
EL_962| 23 19.8
EL_963| 63 45.1
EL_964| 15 85.7
EL_965| 38 68.7
EL_966| 84 41.6
EL_967| 79 36
EL_968| 82 38.1
EL_969| 96 33.6
EL_970| 4 21.6
EL_971| 28 92.7
EL_972| 2 57
EL_973| 93 54.6
EL_974| 86 79.9
EL_975| 29 18.4
EL_976| 76 83.6
EL_977| 0 5.3
EL_978| 29 83.9
EL_979| 1 79.3
EL_980| 77 88.2
EL_981| 32 31.3
EL_982| 15 20.8
EL_983| 97 53.6
EL_984| 17 25.7
EL_985| 95 18.5
EL_986| 3 29.4
EL_987| 96 29.7
EL_988| 73 7.3
EL_989| 26 69.2
EL_990| 78 73.6
EL_991| 76 83.2
EL_992| 73 69.4
EL_993| 3 19.9
EL_994| 34 91.8
EL_995| 5 72.3
EL_996| 1 36.7
EL_997| 6 80.2
EL_998| 26 8.8
EL_999| 20 81.7
EL_1000| 7 72
EL_1001| 93 73.8
EL_1002| 89 62
EL_1003| 90 93.5
EL_1004| 62 51.3
EL_1005| 70 40.7
EL_1006| 80 90.3
EL_1007| 62 25.9
EL_1008| 89 18.4
EL_1009| 0 96.5
EL_1010| 97 57.8
EL_1011| 9 92.4
EL_1012| 22 63.1
EL_1013| 81 64.8
EL_1014| 21 99.5
EL_1015| 97 34.2
EL_1016| 96 72.8
EL_1017| 62 44.5
EL_1018| 19 35.3
EL_1019| 36 20.2
EL_1020| 36 45.6
EL_1021| 4 55.8
EL_1022| 86 56.2
EL_1023| 35 38.3
EL_1024| 100 73.5
EL_1025| 76 72.6
EL_1026| 20 82.1
EL_1027| 99 40.6
EL_1028| 74 79.1
EL_1029| 100 67
EL_1030| 8 98.1
EL_1031| 100 23.1
EL_1032| 77 60
EL_1033| 38 10
EL_1034| 18 89.6
EL_1035| 88 83.2
EL_1036| 33 69.3
EL_1037| 25 22.9
EL_1038| 0 40.1
EL_1039| 78 9.4
EL_1040| 9 8.9
EL_1041| 10 56.6
EL_1042| 81 81.7
EL_1043| 14 53.5
EL_1044| 80 29.6
EL_1045| 25 3.2
EL_1046| 61 19.3
EL_1047| 70 61
EL_1048| 39 62.5
EL_1049| 26 13.3
EL_1050| 75 43
EL_1051| 3 59.7
EL_1052| 8 9.2
EL_1053| 77 41.8
EL_1054| 78 17.1
EL_1055| 0 45.7
EL_1056| 64 26.3
EL_1057| 37 89.4
EL_1058| 74 89.4
EL_1059| 12 38.4
EL_1060| 99 93.5
EL_1061| 5 89.1
EL_1062| 100 39.2
EL_1063| 63 11.2
EL_1064| 84 95.1
EL_1065| 1 58.7
EL_1066| 26 96.3
EL_1067| 76 60.6
EL_1068| 6 92.6
EL_1069| 13 85.7
EL_1070| 17 34.5
EL_1071| 73 11.3
EL_1072| 14 88.7
EL_1073| 70 96.5
EL_1074| 8 23.4
EL_1075| 32 6.8
EL_1076| 0 53.9
EL_1077| 67 15.9
EL_1078| 16 61.8
EL_1079| 80 11.9
EL_1080| 66 30.3
EL_1081| 21 41
EL_1082| 85 99.6
EL_1083| 25 71.1
EL_1084| 63 88.7
EL_1085| 69 79.3
EL_1086| 27 16.4
EL_1087| 6 39
EL_1088| 34 39
EL_1089| 84 65.5
EL_1090| 76 63.6
EL_1091| 36 91.9
EL_1092| 61 77.8
EL_1093| 61 0.7
EL_1094| 13 13.4
EL_1095| 85 48.4
EL_1096| 3 8.7
EL_1097| 34 11.5
EL_1098| 8 39.7
EL_1099| 95 63.6
EL_1100| 91 8.1
EL_1101| 20 2
EL_1102| 84 12.8
EL_1103| 61 6.4
EL_1104| 33 1.5
EL_1105| 94 8.7
EL_1106| 79 36.7
EL_1107| 15 22.3
EL_1108| 8 43.5
EL_1109| 1 47.7
EL_1110| 93 46
EL_1111| 22 37.1
EL_1112| 74 41.9
EL_1113| 84 72.8
EL_1114| 19 10.1
EL_1115| 69 75.2
EL_1116| 26 78.6
EL_1117| 98 1.4
EL_1118| 71 89.3
EL_1119| 73 23.5
EL_1120| 98 56.6
EL_1121| 26 49.8
EL_1122| 64 15.2
EL_1123| 10 91.2
EL_1124| 84 98.6
EL_1125| 94 46.7
EL_1126| 6 9.1
EL_1127| 33 14.4
EL_1128| 18 84.8
EL_1129| 70 35.1
EL_1130| 1 91.5
EL_1131| 28 3.1
EL_1132| 69 25.7
EL_1133| 66 48.4
EL_1134| 85 17.5
EL_1135| 88 7.6
EL_1136| 80 53.1
EL_1137| 32 83.1
EL_1138| 36 34.3
EL_1139| 32 11.3
EL_1140| 39 37.8
EL_1141| 1 98.6
EL_1142| 71 36.2
EL_1143| 13 57.7
EL_1144| 81 28.3
EL_1145| 8 92
EL_1146| 29 94.9
EL_1147| 96 96.9
EL_1148| 33 12.9
EL_1149| 87 17.8
EL_1150| 65 51.3
EL_1151| 85 30
EL_1152| 33 83.2
EL_1153| 40 88.2
EL_1154| 8 45.7
EL_1155| 24 96.6
EL_1156| 91 98
EL_1157| 95 70
EL_1158| 24 97.7
EL_1159| 73 86.8
EL_1160| 71 21.6
EL_1161| 86 43.2
EL_1162| 27 83.3
EL_1163| 2 37.6
EL_1164| 10 6.7
EL_1165| 65 30.8
EL_1166| 61 68.5
EL_1167| 73 19.5
EL_1168| 79 97.9
